lambda (nm),photons
10.0,0.0
30.0,0.0
50.0,0.0
70.0,0.0
90.0,0.0
110.0,0.0
130.0,0.0
150.0,0.0
170.0,0.0
190.0,0.0
210.0,2.0
230.0,4.0
250.0,10.0
270.0,30.0
290.0,57.0
310.0,91.0
330.0,140.0
350.0,220.0
370.0,248.0
390.0,270.0
410.0,278.0
430.0,319.0
450.0,360.0
470.0,389.0
490.0,396.0
510.0,390.0
530.0,390.0
550.0,422.0
570.0,362.0
590.0,381.0
610.0,345.0
630.0,355.0
650.0,315.0
670.0,308.0
690.0,338.0
710.0,309.0
730.0,333.0
750.0,305.0
770.0,276.0
790.0,272.0
810.0,273.0
830.0,266.0
850.0,272.0
870.0,247.0
890.0,227.0
910.0,218.0
930.0,226.0
950.0,221.0
970.0,220.0
990.0,204.0
1010.0,187.0
1030.0,184.0
1050.0,180.0
1070.0,171.0
1090.0,174.0
1110.0,156.0
1130.0,141.0
1150.0,159.0
1170.0,138.0
1190.0,141.0
1210.0,143.0
1230.0,120.0
1250.0,123.0
1270.0,118.0
1290.0,136.0
1310.0,103.0
1330.0,109.0
1350.0,111.0
1370.0,93.0
1390.0,92.0
1410.0,70.0
1430.0,103.0
1450.0,96.0
1470.0,94.0
1490.0,89.0
1510.0,72.0
1530.0,86.0
1550.0,79.0
1570.0,75.0
1590.0,77.0
1610.0,72.0
1630.0,67.0
1650.0,58.0
1670.0,51.0
1690.0,56.0
1710.0,63.0
1730.0,55.0
1750.0,70.0
1770.0,61.0
1790.0,65.0
1810.0,57.0
1830.0,62.0
1850.0,48.0
1870.0,67.0
1890.0,36.0
1910.0,42.0
1930.0,42.0
1950.0,49.0
1970.0,43.0
1990.0,36.0
2010.0,51.0
2030.0,43.0
2050.0,26.0
2070.0,33.0
2090.0,42.0
2110.0,36.0
2130.0,33.0
2150.0,37.0
2170.0,32.0
2190.0,40.0
2210.0,34.0
2230.0,31.0
2250.0,50.0
2270.0,37.0
2290.0,37.0
2310.0,29.0
2330.0,34.0
2350.0,31.0
2370.0,16.0
2390.0,25.0
2410.0,29.0
2430.0,33.0
2450.0,19.0
2470.0,27.0
2490.0,26.0
2510.0,22.0
2530.0,28.0
2550.0,22.0
2570.0,21.0
2590.0,23.0
2610.0,35.0
2630.0,20.0
2650.0,22.0
2670.0,23.0
2690.0,24.0
2710.0,14.0
2730.0,16.0
2750.0,18.0
2770.0,8.0
2790.0,26.0
2810.0,23.0
2830.0,18.0
2850.0,18.0
2870.0,17.0
2890.0,12.0
2910.0,21.0
2930.0,9.0
2950.0,12.0
2970.0,12.0
2990.0,11.0
3010.0,13.0
3030.0,14.0
3050.0,11.0
3070.0,10.0
3090.0,11.0
3110.0,16.0
3130.0,17.0
3150.0,10.0
3170.0,14.0
3190.0,7.0
3210.0,11.0
3230.0,9.0
3250.0,11.0
3270.0,9.0
3290.0,9.0
3310.0,12.0
3330.0,14.0
3350.0,13.0
3370.0,14.0
3390.0,15.0
3410.0,14.0
3430.0,20.0
3450.0,12.0
3470.0,6.0
3490.0,12.0
3510.0,9.0
3530.0,8.0
3550.0,7.0
3570.0,10.0
3590.0,10.0
3610.0,12.0
3630.0,17.0
3650.0,8.0
3670.0,4.0
3690.0,9.0
3710.0,10.0
3730.0,6.0
3750.0,7.0
3770.0,10.0
3790.0,7.0
3810.0,13.0
3830.0,12.0
3850.0,8.0
3870.0,5.0
3890.0,7.0
3910.0,5.0
3930.0,5.0
3950.0,5.0
3970.0,6.0
3990.0,10.0
